Tipo;Cor;Pigmento;Quant OP (kg)
Textura Fulget;Outono Quente;Preto;0,000044
Textura Fulget;Preto Total;Preto;0,0055
Textura Fulget;Romance Antigo;Vermelho Oxido;0,0025
Colorprime Fulget;Branco Gelo;Preto;0,000399
Colorprime Fulget;Chocolate;Preto;0,003546
Colorprime Fulget;Chocolate;Vermelho Oxido;0,012726
Colorprime Fulget;Chocolate;Amarelo Oxido;0,02511
Colorprime Fulget;Cinza Escuro;Preto;0,002303
Colorprime Fulget;Cinza Medio;Preto;0,00094
Colorprime Fulget;Dunas de Pirambu;Amarelo Oxido;0,003437
Colorprime Fulget;Dunas de Pirambu;Vermelho Oxido;0,000098
Colorprime Fulget;Dunas de Pirambu;Preto;0,000112
Colorprime Fulget;Marfim;Amarelo Oxido;0,00804
Colorprime Fulget;Marfim;Vermelho Oxido;0,000261
Colorprime Fulget;Onda Da Praia;Amarelo Oxido;0,01
Colorprime Fulget;Onda Da Praia;Preto;0,00015
Colorprime Fulget;Onda Da Praia;Vermelho Oxido;0,001
Colorprime Fulget;Palha;Amarelo Oxido;0,000688
Colorprime Fulget;Palha;Amarelo Limpo;0,000722
Colorprime Fulget;Palha;Preto;0,000165
Colorprime Fulget;Perola;Vermelho Oxido;0,000117
Colorprime Fulget;Perola;Amarelo Oxido;0,002759
Colorprime Fulget;Preto;Preto;0,02
Colorprime Fulget;Rosa;Vermelho Oxido;0,001111
Colorflex;Santiago Cheio;Preto;0,00719
Colorflex;Santiago Cheio;Amarelo Oxido;0,042218
Colorflex;Santiago Cheio;Amarelo Limpo;0,000278
Colorflex;Santiago Cheio;Vermelho Oxido;0,004277
Craqueado Classic;Elefante Cinza;Preto;0,00017
Craqueado Classic;Elefante Cinza;Amarelo Oxido;0,00004
Ecomax;Amarelo Milho;Amarelo Limpo;0,001789
Ecomax;Amarelo Milho;Amarelo Oxido;0,0017
Ecomax;Branco Gelo;Amarelo Oxido;0,000104
Ecomax;Branco Gelo;Preto;0,000083
Ecomax;Castanha;Preto;0,000295
Ecomax;Castanha;Vermelho Oxido;0,003
Ecomax;Castanha;Amarelo Oxido;0,01152
Ecomax;Ceu Aracaju;Azul;0,001669
Ecomax;Concreto;Amarelo Oxido;0,006159
Ecomax;Concreto;Preto;0,001084
Ecomax;Concreto;Vermelho Oxido;0,00056
Ecomax;Dunas de Pirambu;Preto;0,000089
Ecomax;Dunas de Pirambu;Amarelo Oxido;0,000975
Ecomax;Dunas de Pirambu;Vermelho Oxido;0,000016
Ecomax;Jardim de Estancia;Amarelo Oxido;0,00072
Ecomax;Jardim de Estancia;Amarelo Limpo;0,001277
Ecomax;Jardim de Estancia;Verde;0,0007
Ecomax;Marfim;Amarelo Limpo;0,000492
Ecomax;Marfim;Amarelo Oxido;0,002748
Ecomax;Palha;Amarelo Limpo;0,00007
Ecomax;Palha;Preto;0,000103
Ecomax;Palha;Amarelo Oxido;0,000697
Ecomax;Perola de Itabaiana;Amarelo Oxido;0,003454
Ecomax;Pessego;Vermelho Limpo;0,000162
Ecomax;Pessego;Amarelo Oxido;0,003892
